asset,t,mean,std,min,max
SPX,1,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,2,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,3,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,4,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,5,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,6,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,7,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,8,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,9,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,10,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,11,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,12,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,13,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,14,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,15,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,16,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,17,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,18,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,19,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,20,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,21,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,22,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,23,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,24,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,25,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,26,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,27,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,28,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,29,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,30,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,31,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,32,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,33,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,34,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,35,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,36,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,37,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,38,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,39,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,40,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,41,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,42,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,43,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,44,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,45,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,46,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,47,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,48,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,49,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,50,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,51,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,52,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,53,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,54,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,55,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,56,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,57,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,58,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,59,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,60,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,61,0.5200000405311584,0.12220203131437302,0.4000000059604645,0.800000011920929
SPX,62,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
SPX,63,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
SPX,64,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
SPX,65,0.5600000619888306,0.14966629445552826,0.4000000059604645,0.800000011920929
SPX,66,0.5733334422111511,0.1236482486128807,0.4000000059604645,0.800000011920929
SPX,67,0.5199999809265137,0.0979795902967453,0.4000000059604645,0.6000000238418579
SPX,68,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
SPX,69,0.5199999809265137,0.0979795902967453,0.4000000059604645,0.6000000238418579
SPX,70,0.5199999809265137,0.0979795902967453,0.4000000059604645,0.6000000238418579
SPX,71,0.4933333396911621,0.1236482560634613,0.4000000059604645,0.800000011920929
SPX,72,0.48000001907348633,0.12220202386379242,0.4000000059604645,0.800000011920929
SPX,73,0.4933333396911621,0.1236482560634613,0.4000000059604645,0.800000011920929
SPX,74,0.4533333480358124,0.11469767987728119,0.20000000298023224,0.6000000238418579
SPX,75,0.5199999809265137,0.0979795902967453,0.4000000059604645,0.6000000238418579
SPX,76,0.5333333611488342,0.11925697326660156,0.4000000059604645,0.800000011920929
SPX,77,0.5333333611488342,0.15776214003562927,0.20000000298023224,0.800000011920929
SPX,78,0.40000003576278687,0.10327956080436707,0.20000000298023224,0.6000000238418579
SPX,79,0.40000003576278687,0.07302968204021454,0.20000000298023224,0.6000000238418579
SPX,80,0.4933333098888397,0.12364824116230011,0.20000000298023224,0.6000000238418579
SPX,81,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
SPX,82,0.5333333611488342,0.11925697326660156,0.4000000059604645,0.800000011920929
SPX,83,0.5600000023841858,0.13063944876194,0.4000000059604645,0.800000011920929
SPX,84,0.5200000405311584,0.12220202386379242,0.4000000059604645,0.800000011920929
SPX,85,0.54666668176651,0.1707499921321869,0.20000000298023224,0.800000011920929
SPX,86,0.46666669845581055,0.15776214003562927,0.20000000298023224,0.800000011920929
SPX,87,0.4933333396911621,0.09977754205465317,0.4000000059604645,0.6000000238418579
SPX,88,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
SPX,89,0.5066666603088379,0.09977753460407257,0.4000000059604645,0.6000000238418579
