lambda,m,mean_regret,worst_regret
0.3,0.01,452.52264,1158.937
0.3,0.2,467.75772,934.0029
0.3,0.5,526.96466,989.03467
0.7,0.01,537.7459,779.7617
0.7,0.2,466.88995,718.2451
0.7,0.5,486.0031,764.2002
1.1,0.01,562.45056,1330.8242
1.1,0.2,511.87567,1027.3926
1.1,0.5,522.30743,1139.1953
1.5,0.01,533.2596,1265.7002
1.5,0.2,528.5212,1215.3682
1.5,0.5,546.84814,1418.2393
1.8,0.01,575.31885,1486.5488
1.8,0.2,551.80096,1480.5166
1.8,0.5,541.9533,1375.96
