lambda,m,mean_regret,worst_regret
0.3,0.1,501.26358,1034.7383
0.3,0.5,501.26398,1034.748
0.3,1.0,302.84473,527.8999
0.9,0.1,501.43164,1034.9727
0.9,0.5,501.263,1034.7383
0.9,1.0,296.21893,527.68896
1.2,0.1,501.26358,1034.7383
1.2,0.5,490.24805,988.66016
1.2,1.0,280.65332,470.4292
1.5,0.1,501.26358,1034.7383
1.5,0.5,442.96222,784.47266
1.5,1.0,215.40625,454.60742
1.8,0.1,501.26398,1034.7441
1.8,0.5,397.0462,643.4199
1.8,1.0,80.70254,202.76172
