setup,n_periodos,OPT_cap_final,RG_cap_final,NaiveRB_cap_final,NaiveBH_cap_final,OPT_ret_acum,RG_ret_acum,NaiveRB_ret_acum,NaiveBH_ret_acum,g_mean_lambda,g_mean_m
full,163,14522.315835130237,8680.257346134165,12091.594389139935,12258.459730122508,0.4522315835130237,-0.1319742653865834,0.20915943891399347,0.22584597301225084,0.3,0.1
nopad,103,10682.156270568072,8701.872327033945,9908.053480125716,9975.20892227764,0.06821562705680706,-0.1298127672966055,-0.009194651987428415,-0.0024791077722360333,0.3,0.5
test,16,12420.825284595232,13479.063890387106,12975.487512887934,12985.615553963005,0.24208252845952316,0.34790638903871063,0.2975487512887933,0.2985615553963006,0.3,0.1
