setup,T_eff,g_mean_lambda,g_mean_m,g_mean_regret,g_mean_V_avg,g_mean_V_min,g_mean_V_max,g_mean_ret_avg,g_worst_lambda,g_worst_m,g_worst_regret
full,163,0.3,0.1,1458.606689453125,21404.06640625,3995.6962890625,57438.5859375,1.140406608581543,0.3,0.1,3400.22216796875
nopad,103,0.3,0.5,996.9568481445312,12479.5625,5515.43115234375,28314.236328125,0.2479562759399414,0.3,1.0,2018.52001953125
test,16,0.3,0.1,421.2328186035156,10907.4189453125,6769.935546875,13651.001953125,0.09074187278747559,0.3,1.0,1013.54248046875
