asset,q_nominal,mean_t_1_10,mean_t_last10,delta
SPX,0.10000000149011612,-0.04254717007279396,-0.04958048835396767,-0.007033318281173706
SPX,0.30000001192092896,-0.012370419688522816,-0.01186477392911911,0.0005056457594037056
SPX,0.5,0.0030508055351674557,0.0025927559472620487,-0.00045804958790540695
SPX,0.699999988079071,0.019024085253477097,0.019353140145540237,0.00032905489206314087
SPX,0.8999999761581421,0.04689516872167587,0.04694758355617523,5.241483449935913e-05
CMC200,0.10000000149011612,-0.08971245586872101,-0.08546382188796997,0.004248633980751038
CMC200,0.30000001192092896,-0.03125657141208649,-0.03576032817363739,-0.004503756761550903
CMC200,0.5,-0.00810698140412569,-0.0020596510730683804,0.00604733033105731
CMC200,0.699999988079071,0.03754359856247902,0.03626367822289467,-0.0012799203395843506
CMC200,0.8999999761581421,0.10838735103607178,0.09637360274791718,-0.012013748288154602
