asset,metodo,mean,median,std,min,max
SPX,walking,0.5339805483818054,0.6000000238418579,0.09404958039522171,0.4000000059604645,0.6000000238418579
SPX,rollout,0.5447852611541748,0.6000000238418579,0.09211448580026627,0.4000000059604645,0.800000011920929
CMC200,walking,0.46796128153800964,0.4000000059604645,0.09472864866256714,0.4000000059604645,0.6000000238418579
CMC200,rollout,0.49079757928848267,0.4000000059604645,0.09957569092512131,0.4000000059604645,0.6000000238418579
