asset,q_nominal,q_empirico,desviacion
SPX,0.10000000149011612,0.038834951456310676,-0.06116505003380544
SPX,0.30000001192092896,0.3106796116504854,0.010679599729556455
SPX,0.5,0.47572815533980584,-0.024271844660194164
SPX,0.699999988079071,0.7961165048543689,0.09611651677529787
SPX,0.8999999761581421,0.941747572815534,0.04174759665739192
CMC200,0.10000000149011612,0.08737864077669903,-0.012621360713417087
CMC200,0.30000001192092896,0.2621359223300971,-0.03786408959083187
CMC200,0.5,0.4174757281553398,-0.08252427184466021
CMC200,0.699999988079071,0.7281553398058253,0.028155351726754207
CMC200,0.8999999761581421,0.8932038834951457,-0.006796092662996411
