asset,q_nominal,mean_decil,mean_realizado,diff_decil_minus_real
SPX,0.10000000149011612,-0.045699093490839005,0.00145879911724478,-0.047157892608083785
SPX,0.30000001192092896,-0.012633321806788445,0.00145879911724478,-0.014092120924033225
SPX,0.5,0.001312618493102491,0.00145879911724478,-0.00014618062414228916
SPX,0.699999988079071,0.019634786993265152,0.00145879911724478,0.018175987876020372
SPX,0.8999999761581421,0.04844173416495323,0.00145879911724478,0.04698293504770845
CMC200,0.10000000149011612,-0.09103821963071823,0.001730801071971655,-0.09276902070268989
CMC200,0.30000001192092896,-0.033636800944805145,0.001730801071971655,-0.0353676020167768
CMC200,0.5,-0.0048000323586165905,0.001730801071971655,-0.006530833430588245
CMC200,0.699999988079071,0.03429456800222397,0.001730801071971655,0.032563766930252314
CMC200,0.8999999761581421,0.101278156042099,0.001730801071971655,0.09954735497012734
