asset,mean,median,frac_eq_0,frac_lt_0.2,frac_gt_0.8,frac_eq_1
SPX,0.5339805483818054,0.6000000238418579,0.0,0.0,0.0,0.0
CMC200,0.46796128153800964,0.4000000059604645,0.0,0.0,0.0,0.0
